text,label
 ABC، CBS، اور NBC نے پام بونڈی کے ٹرمپ کے قانونی دفاع کو بلیک آؤٹ ؟,0
ٹائیگرز آسٹریلوی بش فائر کے شعلوں کی لپیٹ میں ہیں؟ نہیں، دوبارہ سوچو,0
ویڈیو میں میکرون کو '30 سال پہلے ہونے والی بیوی کے ساتھ رقص' نہیں دکھایا گیا,0
ایف ڈی اے نے اخروٹ کو منشیات کے طور پر درجہ بندی ؟,0
اس سال کے لئے ایف اے ٹی ایف کا جائزہ شیڈول ہے,1
بچوں کو قتل کر کے لاشیں سوٹ کیس میں چھپانے والی خاتون گرفتار,1
پیٹرک مرفی کا کہنا ہے کہ سوشل سیکیورٹی اور میڈیکیئر میں کمی کی وکالت کی۔,0
اخبار نے ہندو تہوار سے پہلے الاؤ کم کرنے کا مطالبہ کیا، مسلمانوں کے لیے 'کم بکرے ذبح کرنے' کے لیے نہیں,0
امریکا کے جنگلات میں خوفناک آتشزدگی، 600 گھر جل کر راکھ,1
نگران وزیراعلیٰ سندھ سے سعودی وزیر حج وعمرہ ڈاکٹر توفیق بن فوزان الربیعہ کی ملاقات,1
28 دسمبر ، 1612 کو ، اطالوی ماہر فلکیات گالیلیو گیلیلی نے سیارے نیپچون کا مشاہدہ کیا ، لیکن اسے ایک ستارے کے لئے غلط سمجھا۔,1
بھارت میں ڈاکٹر نے زبان کے آپریشن کے بجائے بچے کی ختنہ کردی,1
پاکستانی خاتون سیما حیدر اس سال 2 بار نیپال آئی، تحقیقات سے پتہ چلا,1
"حال ہی میں، سینئر بلے باز اور پاکستان کے سابق T20I کپتان محمد حفیظ نے کہا کہ ہندوستان میں ""تیار مصنوعات"" نے بین الاقوامی کرکٹ کھیلی، جب کہ پاکستان میں ٹیلنٹ پر حد سے زیادہ انحصار کیا گیا ہے۔",1
ہر بڑا مطالعہ جو ایک جائز گروپ کی طرف سے  گیا ہے  ظاہر کرتا ہے کہ اگر آپ ہماری کیپ اینڈ ٹریڈ قانون پاس کر لیتے ہیں تو لاکھوں نوکریاں پیدا ہو سکتی ہیں۔ اور اگر آپ کاربن کی قیمتوں کو ختم کر دیتے ہیں۔,0
گوتم گھمبیر کے اپنی ٹیم کے کھلاڑیوں کے ساتھ ہی جھگڑے رہتے تھے ، شاہد آفریدی کا بیان,1
پینٹاگون نے اسد کو زبردستی ہٹانے کے لیے یونائیٹڈ ایئرلائنز کو معاہدہ دیا؟,0
اسلام آباد کے بعض علاقوں میں ہلکی بوندا باندی، موسم خوشگوار,1
روس کے سابق نائب وزیر اعظم یوکرینی فوج کے حملے میں زخمی,1
ٹریفک اہلکار نے20 لاکھ ڈالر اور زیورات سے بھرا بیگ مالک کو واپس کردیا,1
ونڈو فون میں کافی عرصے سے مختلف ملکوں کی قومی زبان آپشن ہے۔ مثال کے طور پر انگلش (یو ایس)، (یو کے)، (انڈیا) وغیرہ۔ آپ کو ان زبانوں  میں انگریزی سن کر شاید ہر بار شاید کوئی فرق نہ لگے لیکن ان مختلف زبانوں کو منتخب کرنے سے ڈیوائس پر کافی دباؤ پڑتا ہے۔ جب آپ زبان میں بھارتی انگریزی منتخب کرتے ہیں تو کرنسی بھی ڈالر ($) سے بدل کر روپے میں تبديل ہوجاتی ہے اور اس کا دباؤ جی ميل اسسٹنٹ کی آواز پہچاننے کی صلاحيت کے ساتھ دوسری ايپس پر بھی پڑتا ہے۔,0
جمعہ کے روز ایک پاکستانی عدالت نے دہشت گردی کی مالی اعانت کے معاملے میں ایک سینئر عسکریت پسند رہنما کو پانچ سال قید کی سزا سنائی اور اسے ملک کا کاؤنٹر ,1
افغانستان کے ہوٹل میں زوردار دھماکا؛ 3 افراد ہلاک اور7 زخمی,1
 جون رنیان نے بے گھر سابق فوجیوں کی مدد کے لیے پروگرام ختم کرنے کے لیے ووٹ دیا۔,0
"اسٹیفن میلز, چونکہ 117 ویں کانگریس کام کرنے کی تیاری کر رہی ہے اور صدر منتخب بائیڈن نے اپنی انتظامیہ کو اکٹھا کرنا جاری رکھا ہے ، اب وقت آگیا ہے کہ 2001 کے اے یو ایم ایف کو منسوخ اور تبدیل کریں۔",1
ویتنام میں کالی بلیوں کو کورونا وائرس کے علاج کے طور پر مارا اور کھایا جا رہا ہے۔,0
سیلاب میں بہتے ہوئے لوگوں کا یہ ویڈیو پاکستان کا نہیں، بھارت کا ہے,0
نورفین گولیوں میں گرافین آکسائیڈ نہیں ہوتا ہے۔,0
اسرائیلی فوج کی دہشت گردی، 9 فلسطینی شہید,1
طالبان کا اقوام متحدہ کے افغانستان میں امدادی کام جاری رکھنے کے فیصلہ کا خیرمقدم,1
 کورونا وائرس نے اسے مسیسیپی تک پہنچا دیا ہے اور جس خاتون نے اسے پکڑا ہے اس کے ساتھ کوئی بھی نہیں تھا جس کا مطلب ہے کہ یہ ہوائی ہے۔ اس کا مطلب ہے کہ اگر ہوا اسے آپ کی سمت اڑائے گی تو آپ کے پاس بھی ہوگا۔,0
ایک سرکاری صحت کے عہدیدار نے ہفتے کے روز بتایا کہ پاکستان کی حکومت نے کوواکس اسکیم کے تحت 17 ملین خوراکوں کو آسٹرا زینیکا کی کوویڈ 19 ویکسین حاصل کی ہے۔,0
سی ڈی سی نے COVID-19 اموات کی تعداد کو 'کم نہیں' کیا ہے۔,0
