text,label
یوٹیلیٹی اسٹورز پر چینی کی فروخت جلد شروع ہونے کا امکان,1
بھارتی ہدایت کار انوراگ کیشپ فلم سازی کیوں چھوڑنا چاہتے تھے؟,1
نجیبہ فیض نے فیروز خان اور اپنے متعلق افواہوں پر خاموشی توڑ دی,1
زمبابوے کے سابق کپتان ہیتھ اسٹریک کے انتقال کی خبر جھوٹی نکلی,1
مدھیہ پردیش میں مدرسے کے طلباء پاکستان زندہ باد کے نعرے لگا رہے ہیں,0
ورلڈ شوٹنگ: 25 میٹر ریپڈ فائر پستول کے پہلے روز جی ایم بشیر کی 23 ویں پوزیشن,1
ٹرمپ کے ہوٹل پر کام کرنے والی ملازمہ سے ساتھی ملازم کا ریپ,1
ویڈیو: ‘میرے بغیر درگاہ کو غسل کیوں دیا‘؟ شاہ محمود کے بھائی بھتیجے پر برس پڑے,1
کراچی: ایم پی اے کے بھائی اور بھتیجے کے قتل کیس میں اہم پیشرفت,1
پبلک نیوز کی طرف سے ایک نیوز ٹکر نشر کیا گیا جہاں انہوں نے اطلاع دی ہے کہ پنجاب حکومت نئے ملازمین کی خدمات حاصل کرنے کا منصوبہ نہیں بنا رہی ہے۔ اظہر مشوانی نے جواب دیتے ہوئے یہ خبر جھوٹی نکلی۔,0
میانوالی: باپ نےکزن سے شادی سے انکار پر ڈاکٹر بیٹی پر فائرنگ کردی,1
عمران خان کی جکوزی کس نے سجائی؟ ٹویٹ نے پرانی بحث کو پھر سے جنم دیا۔,0
آفس میں فون چارج کرنے پر باس نے ملازم کو ’ بجلی چور‘ قرار دے دیا,1
بوائے فرینڈ پرکالا جادو کروانے کیلئے خاتون نے آفس سے کروڑوں روپے چوری کرلیے,1
سال میں 2 بار اس جگہ جانے پر اس شخص کو ایک کروڑ روپے سے زیادہ کیوں دیے جاتے ہیں؟,1
جسم میں پروٹین کی کمی ظاہر کرنے والی عام نشانیاں,1
پاکستانی پرچم میں لپٹا اور بندوق تھامے بھارتی پرچم پر کھڑے شخص کا تعلق کولکتہ سے ہے,0
ڈپریشن جیسے مرض سے بچنا بہت آسان,1
پاکستان اسٹاک ایکسچینج میں شدید مندی، انڈیکس 770 پوائنٹس گر گیا,1
ویڈیو میں حیدرآباد میں ایک بھیڑ بھری مدینہ مارکیٹ دکھائی گئی ہے جہاں لوگ عید کے لئے خریداری کر رہے ہیں,0
پاکستان کا وہ گاؤں جہاں ہر کوئی ڈاکٹر، ٹیچر یا اعلیٰ عہدے پر فائز ہے,1
سعودی حکام نے مسجد الحرام میں برف باری کی جعلی ویڈیو وائرل,0
تصویر میں موجودہ پاکستانی حکومت کے تحت طبی قیمتوں کا اندازہ دکھایا گیا ہے,0
سرفراز نواز کی نگران وزیر اعظم سے کرکٹ بورڈ کے معاملات میں مداخلت کی درخواست,1
مشہور ٹینس کھلاڑی ثانیہ مرزا جب پاکستان میں ہوتی ہیں تو حجاب پہنتی ہیں۔,0
افغانستان نے پاکستان کے لیے 30 ملین ڈالر کے کوویڈ 19 امدادی پیکج کا اعلان کیا,0
پنجاب کے وزیر اطلاعات عامر میر نے کہا کہ خان کو دوبارہ گرفتار کرنے کا کوئی منصوبہ نہیں ہے۔ انہوں نے جمعرات کو ایک نیوز کانفرنس میں کہا کہ ہم صرف یہ چاہتے ہیں کہ وہ اپنے گھر میں چھپے دہشت گردوں کے حوالے کرے۔,0
ویڈیو: جنوبی افریقا میں سڑک دھماکے سے پھٹ گئی، حکام تشویش میں مبتلا,1
رات کو سوتے وقت پسینہ آنے کی کیا وجہ ہے؟ اس سے بچنے کے طریقے جانیں,1
مردہ قرار دیے گئے بی جے پی رہنما آخری رسومات کے دوران زندہ ہوگئے، دوبارہ اسپتال داخل,1
2019 کی حالیہ ویڈیو ایک پانچ ماہ کے بچے کی مبینہ طور پر اغوا کی تھی اور اسے کراچی، پاکستان سے دبئی لے جایا جا رہا تھا,0
اے آر وائی نیوز نے حال ہی میں ایک ٹکر نشر کیا ہے جس میں انہوں نے وزیر اعظم عمران خان سے جعلی بیان منسوب کیا ہے۔ ان کا دعویٰ ہے کہ وزیر اعظم نے کہا ہے کہ انہیں COVID-19 میں اموات میں اضافے کا اندازہ نہیں تھا، لیکن بعد میں، انہیں اس کہانی کے جعلی ہونے کا احساس ہوا اور انہوں نے وضاحت جاری کی۔,0
فلسطین: مغربی کنارے میں فائرنگ سے اسرائیلی باپ بیٹا ہلاک,1
ہندوستانی فوج نے پاکستانی فوج کے ذریعہ ہلاک ہونے والے فوجیوں کی لاشیں جمع کرنے کے لئے سفید جھنڈا اٹھایا,0
ویڈیو میں دکھایا گیا ہے کہ آر ایس ایس شخص کو برقعہ میں پاکستانی پرچم لہراتے ہوئے (مسلمانوں کو بدنام کرنے کے لئے) تھا,0
پاکستانی پیراٹروپ انسٹرکٹر ایک بہترین لینڈنگ کا مظاہرہ کر رہے ہیں - چین میں تربیت یافتہ۔,0
